Code,Module,Term,Cw
4e1 ,Innovation and strategic management of intellectual property ,M,cw
4e4 ,management of technology,M,cw
4e11 ,Strategic management,L,cw
4e12 ,project management,L,cw
4f5 ,advanced information theory and coding,L,ex
4f7 ,statistical signal analysis,M,ex
4f8 ,image processing and image coding,L,ex
4f10 ,Deep learning and structured data,M,ex
4f12 ,Computer vision,M,ex
4m12 ,Pdes and variational methods ,L,ex
4m17  ,Practical optimozation ,M,cw
4m21 ,Software engineering and design,L,ex

a4e1 ,Innovation and strategic management of intellectual property ,M,cw
a4e4 ,management of technology,M,cw
a4e11 ,Strategic management,L,cw
a4e12 ,project management,L,cw
a4f5 ,advanced information theory and coding,L,ex
a4f7 ,statistical signal analysis,M,ex
a4f8 ,image processing and image coding,L,ex
a4f10 ,Deep learning and structured data,M,ex
a4f12 ,Computer vision,M,ex
a4m12 ,Pdes and variational methods ,L,ex
a4m17  ,Practical optimozation ,M,cw
a4m21 ,Software engineering and design,L,ex

b4e1 ,Innovation and strategic management of intellectual property ,M,cw
b4e4 ,management of technology,M,cw
b4e11 ,Strategic management,L,cw
b4e12 ,project management,L,cw
b4f5 ,advanced information theory and coding,L,ex
b4f7 ,statistical signal analysis,M,ex
b4f8 ,image processing and image coding,L,ex
b4f10 ,Deep learning and structured data,M,ex
b4f12 ,Computer vision,M,ex
b4m12 ,Pdes and variational methods ,L,ex
b4m17  ,Practical optimozation ,M,cw
b4m21 ,Software engineering and design,L,ex
